# y, nut, U, k, epsilon
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.996988186962042500e-01,2.063735908515162001e-11,3.495155964481632370e-03,4.899316578554863584e-07,6.533531176330818893e-07
-9.987954562051724050e-01,1.346049847609370350e-09,1.397221544881805527e-02,7.837534441202518616e-06,1.024275802455980809e-05
-9.972904566786902070e-01,1.613216368304964918e-08,3.140572746298924550e-02,3.970838683769559066e-05,4.927055989775342587e-05
-9.951847266721968177e-01,9.792981733050832724e-08,5.575125198670716209e-02,1.259166874125873070e-04,1.447256343745168732e-04
-9.924795345987099671e-01,4.122231733503701927e-07,8.693692604250001510e-02,3.096513664439742115e-04,3.238292481647887192e-04
-9.891765099647810144e-01,1.378849031022667364e-06,1.248373189738328226e-01,6.495364500268090407e-04,6.109888587733847869e-04
-9.852776423889412216e-01,3.922990541290461847e-06,1.692079590267662748e-01,1.220491341583983085e-03,1.027206685677214135e-03
-9.807852804032304306e-01,9.817489738182049683e-06,2.195513953815184660e-01,2.107276271188656108e-03,1.589624431577724931e-03
-9.757021300385284590e-01,2.189789542696236511e-05,2.749128324555215608e-01,3.380157154890841426e-03,2.306676259302162767e-03
-9.700312531945439742e-01,4.387224363676870119e-05,3.337015867579503636e-01,5.047940585373514311e-03,3.148657813365726352e-03
-9.637760657954398402e-01,7.947309681857647442e-05,3.937546783215827295e-01,7.011795537852800846e-03,4.027807366162552104e-03
-9.569403357322088244e-01,1.312064636209203043e-04,4.527873576270362022e-01,9.073536086603517861e-03,4.822456941868233718e-03
-9.495281805930366748e-01,1.998035813962321808e-04,5.089866470310260294e-01,1.101480037101991091e-02,5.428953637643825145e-03
-9.415440651830206953e-01,2.846827608939937770e-04,5.613103591973623852e-01,1.267988297645821633e-02,5.800811228078659593e-03
-9.329927988347388457e-01,3.847093326271259898e-04,6.094007509687490165e-01,1.400153885335882545e-02,5.947921238765863094e-03
-9.238795325112867385e-01,4.986692546044235686e-04,6.533369639875323820e-01,1.498029566550230542e-02,5.912261799550700206e-03
-9.142097557035306910e-01,6.254270928927891781e-04,6.934160576446963820e-01,1.565302518721842576e-02,5.744480005093349079e-03
-9.039892931234433382e-01,7.639302768458942038e-04,7.300150756269196961e-01,1.606956247638845203e-02,5.490485166862860145e-03
-8.932243011955152134e-01,9.131716061685020598e-04,7.635185718710814085e-01,1.627976730415828244e-02,5.186530368876915952e-03
-8.819212643483549385e-01,1.072153962494945675e-03,7.942855985063257407e-01,1.632784841027529188e-02,4.858950193240629128e-03
-8.700869911087113495e-01,1.239867546399740523e-03,8.226374921679244778e-01,1.625067945698138033e-02,4.525757029525936427e-03
-8.577286100002720071e-01,1.415278742654654202e-03,8.488557234040885469e-01,1.607798804662325526e-02,4.198633994542623829e-03
-8.448535652497071169e-01,1.597327413676331853e-03,8.731841988117595710e-01,1.583327179272112084e-02,3.884721602078347949e-03
-8.314696123025453467e-01,1.784929760266950076e-03,8.958332375373806444e-01,1.553488804401041180e-02,3.588026175602716198e-03
-8.175848131515836004e-01,1.976984696917627980e-03,9.169839085807776069e-01,1.519707926188925556e-02,3.310458430019552149e-03
-8.032075314806448318e-01,2.172382377430446317e-03,9.367921479368972459e-01,1.483085050072795869e-02,3.052569403046806636e-03
-7.883464276266062276e-01,2.370013988480100964e-03,9.553924320085549482e-01,1.444468541924741334e-02,2.814058251700974657e-03
-7.730104533627369934e-01,2.568782243180276186e-03,9.729009526613172643e-01,1.404511555985404544e-02,2.594115697962350378e-03
-7.572088465064843454e-01,2.767612207156265255e-03,9.894183147246125021e-01,1.363716647846270613e-02,2.391652295982474828e-03
-7.409511253549588838e-01,2.965462217409999598e-03,1.005031806453659859e+00,1.322470469003205785e-02,2.205447439349327021e-03
-7.242470829514667807e-01,3.161334736817945218e-03,1.019817301397422327e+00,1.281070655274169426e-02,2.034244542974318441e-03
-7.071067811865474617e-01,3.354287041337841637e-03,1.033840848208607888e+00,1.239746652320500298e-02,1.876810068571919217e-03
-6.895405447370669405e-01,3.543441672811845338e-03,1.047159999074258385e+00,1.198675867266031994e-02,1.731968515525424829e-03
-6.715589548470184411e-01,3.727996613018784086e-03,1.059824920480325616e+00,1.157996231197573611e-02,1.598621620583957860e-03
-6.531728429537768665e-01,3.907235146789161777e-03,1.071879323257078021e+00,1.117816009824138673e-02,1.475757333782687971e-03
-6.343932841636453768e-01,4.080535383979230074e-03,1.083361242826803794e+00,1.078221503929108205e-02,1.362452306733251319e-03
-6.152315905806267082e-01,4.247379400806266560e-03,1.094303695462760517e+00,1.039283128941884821e-02,1.257870382915591287e-03
-5.956993044924333569e-01,4.407361938091098122e-03,1.104735232168689851e+00,1.001060245156371389e-02,1.161258734058390543e-03
-5.758081914178453387e-01,4.560198553767717128e-03,1.114680408429569169e+00,9.636050190055346631e-03,1.071942714525861429e-03
-5.555702330196019556e-01,4.705733064940614656e-03,1.124160185470539197e+00,9.269655248985179605e-03,9.893201191709540508e-04
-5.349976198870970423e-01,4.843944025239911057e-03,1.133192276692185363e+00,8.911882413108602324e-03,9.128552695573323612e-04
-5.141027441932216613e-01,4.974949860275450046e-03,1.141791451527883083e+00,8.563200501484333205e-03,8.420731782067352161e-04
-4.928981922297839824e-01,5.099012122269393384e-03,1.149969807991575665e+00,8.224098119721910335e-03,7.765539232260337387e-04
-4.713967368259976976e-01,5.216536121616672378e-03,1.157737024538539883e+00,7.895095594837728964e-03,7.159272880480841827e-04
-4.496113296546067062e-01,5.328067951070592639e-03,1.165100601407846659e+00,7.576753266089698326e-03,6.598676711388973487e-04
-4.275550934302822514e-01,5.434286651036334195e-03,1.172066101172042796e+00,7.269676103222068135e-03,6.080892408577478342e-04
-4.052413140049897500e-01,5.535990003225062760e-03,1.178637397551071109e+00,6.974514476645319802e-03,5.603412967781465533e-04
-3.826834323650897263e-01,5.634072241921890892e-03,1.184816940358870641e+00,6.691960827249834008e-03,5.164037983452400907e-04
-3.598950365349881664e-01,5.729491929112926103e-03,1.190606042405492282e+00,6.422741999032724643e-03,4.760830336206899201e-04
-3.368898533922199401e-01,5.823228482416886558e-03,1.196005190946234142e+00,6.167607130789878357e-03,4.392074242026163368e-04
-3.136817403988914066e-01,5.916226536442866814e-03,1.201014381629192718e+00,5.927311274218059062e-03,4.056234956460921240e-04
-2.902846772544621645e-01,6.009328627774654721e-03,1.205633466871986137e+00,5.702595318345732994e-03,3.751920825396713819e-04
-2.667127574748983099e-01,6.103198738704432476e-03,1.209862503648066356e+00,5.494163325998162317e-03,3.477848779309500142e-04
-2.429801799032638709e-01,6.198241990285869099e-03,1.213702078791966787e+00,5.302658954243423886e-03,3.232814693971963207e-04
-2.191012401568696588e-01,6.294528963379124493e-03,1.217153584709821379e+00,5.128643117292538967e-03,3.015670182907720896e-04
-1.950903220161281926e-01,6.391736126384018127e-03,1.220219416698168136e+00,4.972575305212193104e-03,2.825307247266178228e-04
-1.709618887603012449e-01,6.489115697018234957e-03,1.222903066625678381e+00,4.834800849949704576e-03,2.660651730308350024e-04
-1.467304744553616369e-01,6.585507822874853319e-03,1.225209097313653572e+00,4.715545848318903645e-03,2.520665725865848172e-04
-1.224106751992161540e-01,6.679404279316361603e-03,1.227142996832273347e+00,4.614920439819456682e-03,2.404358086076890510e-04
-9.801714032956064526e-02,6.769065682884644122e-03,1.228710929662828244e+00,4.532929859350934808e-03,2.310801154417704991e-04
-7.356456359966732916e-02,6.852684344143706099e-03,1.229919418562064770e+00,4.469491408841598512e-03,2.239151034401632139e-04
-4.906767432741800800e-02,6.928574388825371050e-03,1.230775003098808495e+00,4.424454512914326003e-03,2.188668272275903163e-04
-2.454122852291214241e-02,6.995362510422529524e-03,1.231283925318019667e+00,4.397620572202365873e-03,2.158735870488659512e-04
6.123233995736766036e-17,7.052149431636564776e-03,1.231451888782242987e+00,4.388759500352913505e-03,2.148872033843021072e-04
2.454122852291226384e-02,6.995362510422546004e-03,1.231283925318019445e+00,4.397620572202380618e-03,2.158735870488669270e-04
4.906767432741812596e-02,6.928574388825397071e-03,1.230775003098807829e+00,4.424454512914353758e-03,2.188668272275922136e-04
7.356456359966745406e-02,6.852684344143741661e-03,1.229919418562063438e+00,4.469491408841637543e-03,2.239151034401659786e-04
9.801714032956077016e-02,6.769065682884688358e-03,1.228710929662826690e+00,4.532929859350984247e-03,2.310801154417740770e-04
1.224106751992162789e-01,6.679404279316419717e-03,1.227142996832271349e+00,4.614920439819518265e-03,2.404358086076934149e-04
1.467304744553617479e-01,6.585507822874913167e-03,1.225209097313651352e+00,4.715545848318973901e-03,2.520665725865900214e-04
1.709618887603013559e-01,6.489115697018306081e-03,1.222903066625675272e+00,4.834800849949785241e-03,2.660651730308409113e-04
1.950903220161283314e-01,6.391736126384092720e-03,1.220219416698164805e+00,4.972575305212281575e-03,2.825307247266245448e-04
2.191012401568697698e-01,6.294528963379199954e-03,1.217153584709818048e+00,5.128643117292633509e-03,3.015670182907795706e-04
2.429801799032639820e-01,6.198241990285947162e-03,1.213702078791963013e+00,5.302658954243525367e-03,3.232814693972046148e-04
2.667127574748984209e-01,6.103198738704522681e-03,1.209862503648062582e+00,5.494163325998275074e-03,3.477848779309591215e-04
2.902846772544623311e-01,6.009328627774752733e-03,1.205633466871982140e+00,5.702595318345857894e-03,3.751920825396816818e-04
3.136817403988915731e-01,5.916226536442965693e-03,1.201014381629188721e+00,5.927311274218193503e-03,4.056234956461036165e-04
3.368898533922200511e-01,5.823228482416985437e-03,1.196005190946229479e+00,6.167607130790018870e-03,4.392074242026289136e-04
3.598950365349882774e-01,5.729491929113021513e-03,1.190606042405486953e+00,6.422741999032867757e-03,4.760830336207032016e-04
3.826834323650898373e-01,5.634072241921987169e-03,1.184816940358864423e+00,6.691960827249977123e-03,5.164037983452534264e-04
4.052413140049898610e-01,5.535990003225152965e-03,1.178637397551064447e+00,6.974514476645456845e-03,5.603412967781594553e-04
4.275550934302819739e-01,5.434286651036420064e-03,1.172066101172035690e+00,7.269676103222194770e-03,6.080892408577596520e-04
4.496113296546068172e-01,5.328067951070672437e-03,1.165100601407839109e+00,7.576753266089824961e-03,6.598676711389096002e-04
4.713967368259978086e-01,5.216536121616746104e-03,1.157737024538532333e+00,7.895095594837853864e-03,7.159272880480965426e-04
4.928981922297840934e-01,5.099012122269461038e-03,1.149969807991568116e+00,8.224098119722031766e-03,7.765539232260463155e-04
5.141027441932216613e-01,4.974949860275517700e-03,1.141791451527876200e+00,8.563200501484459840e-03,8.420731782067486602e-04
5.349976198870971533e-01,4.843944025239979578e-03,1.133192276692178257e+00,8.911882413108742837e-03,9.128552695573480822e-04
5.555702330196020666e-01,4.705733064940680575e-03,1.124160185470532536e+00,9.269655248985328791e-03,9.893201191709718317e-04
5.758081914178454497e-01,4.560198553767788252e-03,1.114680408429562508e+00,9.636050190055511430e-03,1.071942714525881378e-03
5.956993044924334679e-01,4.407361938091164041e-03,1.104735232168682968e+00,1.001060245156388563e-02,1.161258734058412878e-03
6.152315905806268193e-01,4.247379400806333347e-03,1.094303695462753856e+00,1.039283128941903382e-02,1.257870382915616007e-03
6.343932841636454878e-01,4.080535383979302065e-03,1.083361242826797355e+00,1.078221503929129195e-02,1.362452306733279942e-03
6.531728429537766445e-01,3.907235146789234635e-03,1.071879323257071359e+00,1.117816009824160531e-02,1.475757333782718545e-03
6.715589548470185521e-01,3.727996613018856077e-03,1.059824920480319177e+00,1.157996231197598244e-02,1.598621620583994506e-03
6.895405447370670515e-01,3.543441672811920365e-03,1.047159999074251502e+00,1.198675867266059056e-02,1.731968515525466462e-03
7.071067811865475727e-01,3.354287041337913628e-03,1.033840848208601226e+00,1.239746652320529267e-02,1.876810068571966054e-03
7.242470829514668917e-01,3.161334736818016342e-03,1.019817301397415443e+00,1.281070655274200304e-02,2.034244542974370483e-03
7.409511253549589949e-01,2.965462217410068987e-03,1.005031806453652976e+00,1.322470469003238225e-02,2.205447439349383400e-03
7.572088465064846785e-01,2.767612207156329874e-03,9.894183147246055077e-01,1.363716647846305481e-02,2.391652295982538579e-03
