# y, nut, U, k, epsilon
-1.000000000000000000e+00,3.742346124077310999e-129,0.000000000000000000e+00,7.144834857673262296e-65,1.918240135408028624e-01
-9.996988186962042500e-01,9.520553272809872215e-10,3.492234440950956181e-03,2.436054651264532318e-05,5.609890396607818130e-02
-9.987954562051724050e-01,1.119785840499690935e-07,1.395995392282401576e-02,1.828826390856481867e-04,2.688143805926880570e-02
-9.972904566786902070e-01,1.827764919132435937e-06,3.134856374985451472e-02,5.827331828611479825e-04,1.672097778918987809e-02
-9.951847266721968177e-01,1.254116359232541180e-05,5.529558613262064437e-02,1.307911729686647186e-03,1.227613189201105966e-02
-9.924795345987099671e-01,4.915083020650267434e-05,8.427342054392658599e-02,2.371942837312993393e-03,1.030196543956344787e-02
-9.891765099647810144e-01,1.256789615412189597e-04,1.151470618143130009e-01,3.631037983287028342e-03,9.441511138341343243e-03
-9.852776423889412216e-01,2.379119276863735132e-04,1.450485264374795635e-01,4.860192918592426241e-03,8.935797331425760631e-03
-9.807852804032304306e-01,3.736104516637868520e-04,1.728585043449396841e-01,5.931363355263229685e-03,8.474860375543612559e-03
-9.757021300385284590e-01,5.239624908837371914e-04,1.985521151538759965e-01,6.819613366005672361e-03,7.988437062551260320e-03
-9.700312531945439742e-01,6.842109681547437492e-04,2.224100079616280201e-01,7.541627924314576667e-03,7.481396668044156852e-03
-9.637760657954398402e-01,8.518133947517763900e-04,2.447250123605492489e-01,8.123123952971697537e-03,6.971788521488837820e-03
-9.569403357322088244e-01,1.025261406472762100e-03,2.657379993896857862e-01,8.588335324612995231e-03,6.474792951738790256e-03
-9.495281805930366748e-01,1.203515395386338524e-03,2.856368889862331284e-01,8.957605354903998979e-03,6.000324100682010060e-03
-9.415440651830206953e-01,1.385746292132364289e-03,3.045677000792547107e-01,9.247398219053765134e-03,5.553898060311896791e-03
-9.329927988347388457e-01,1.571216993795141511e-03,3.226452351897258208e-01,9.470900458327435878e-03,5.137938315407390190e-03
-9.238795325112867385e-01,1.759227690146248019e-03,3.399612524871973851e-01,9.638671246388851727e-03,4.752857491085565531e-03
-9.142097557035306910e-01,1.949091337579165594e-03,3.565903443699983688e-01,9.759200787111154893e-03,4.397833921385170715e-03
-9.039892931234433382e-01,2.140123813698698117e-03,3.725941102424102369e-01,9.839357006839424824e-03,4.071336953475146112e-03
-8.932243011955152134e-01,2.331641388681559342e-03,3.880241319964048974e-01,9.884733926718243524e-03,3.771470550689546338e-03
-8.819212643483549385e-01,2.522961875978632293e-03,4.029241212357608237e-01,9.899921222675368490e-03,3.496192195113771890e-03
-8.700869911087113495e-01,2.713407610136543864e-03,4.173314921099011143e-01,9.888712767893883052e-03,3.243448417279577115e-03
-8.577286100002720071e-01,2.902309288956823798e-03,4.312785318019043967e-01,9.854268533747202047e-03,3.011255479704352204e-03
-8.448535652497071169e-01,3.089010176329784647e-03,4.447932853397166819e-01,9.799240950094574923e-03,2.797744453561275355e-03
-8.314696123025453467e-01,3.272870406483288641e-03,4.579002344597196128e-01,9.725874147155063112e-03,2.601183504395027882e-03
-8.175848131515836004e-01,3.453271263914154364e-03,4.706208256110271382e-01,9.636082433740996919e-03,2.419985857356166462e-03
-8.032075314806448318e-01,3.629619387792407722e-03,4.829738856421518234e-01,9.531512808498940337e-03,2.252709004468164862e-03
-7.883464276266062276e-01,3.801350891924389162e-03,4.949759524894827289e-01,9.413595137115531031e-03,2.098048781405665794e-03
-7.730104533627369934e-01,3.967935415654611116e-03,5.066415404885857843e-01,9.283582761035281961e-03,1.954830657950519003e-03
-7.572088465064843454e-01,4.128880135098668934e-03,5.179833545850414112e-01,9.142585655548421050e-03,1.821999737474538396e-03
-7.409511253549588838e-01,4.283733772056457466e-03,5.290124639680549024e-01,8.991597769651841002e-03,1.698610401065056737e-03
-7.242470829514667807e-01,4.432090642124740174e-03,5.397384429858045340e-01,8.831519814374272359e-03,1.583816164347783256e-03
-7.071067811865474617e-01,4.573594785009143897e-03,5.501694852943368463e-01,8.663178489024699752e-03,1.476860075160669333e-03
-6.895405447370669405e-01,4.707944219158642987e-03,5.603124958205945028e-01,8.487342923018151644e-03,1.377065825032266480e-03
-6.715589548470184411e-01,4.834895359352804102e-03,5.701731641372782544e-01,8.304738947429007520e-03,1.283829648275136483e-03
-6.531728429537768665e-01,4.954267628970053169e-03,5.797560221547067849e-01,8.116061682329780286e-03,1.196613020289502083e-03
-6.343932841636453768e-01,5.065948286987006881e-03,5.890644885688403054e-01,7.921986823403254219e-03,1.114936128587099050e-03
-6.152315905806267082e-01,5.169897471262171335e-03,5.981009022254306640e-01,7.723180926471697599e-03,1.038372067514303472e-03
-5.956993044924333569e-01,5.266153431473649324e-03,6.068665464455171854e-01,7.520310915105872691e-03,9.665416949242043500e-04
-5.758081914178453387e-01,5.354837883333287904e-03,6.153616663973899836e-01,7.314052968962597365e-03,8.991090822630410382e-04
-5.555702330196019556e-01,5.436161355327304157e-03,6.235854817935644334e-01,7.105100884217707344e-03,8.357774861280700945e-04
-5.349976198870970423e-01,5.510428313883235750e-03,6.315361975417642659e-01,6.894173928201129641e-03,7.762857676468783944e-04
