# y, k, epsilon, nut, U
-1.000000000000000000e+00,7.144834857673262296e-65,4.555211543449224632e-01,1.575935270474372351e-129,0.000000000000000000e+00
-9.999247018391445030e-01,1.310730286083672250e-05,1.332095259406087528e-01,1.160737179757531459e-10,2.251806855968146483e-03
-9.996988186962042500e-01,9.841798414323021005e-05,6.377783636462519556e-02,1.366852521101024283e-08,9.005707731202617500e-03
-9.993223845883495438e-01,3.138225461831059093e-04,3.940425161386469644e-02,2.249405275149968596e-07,2.024917378624821809e-02
-9.987954562051724050e-01,7.076402692484133269e-04,2.822964113306613426e-02,1.596475397867810974e-06,3.587922066981762137e-02
-9.981181129001491792e-01,1.307416662755066152e-03,2.262042103785353447e-02,6.800954299083305802e-06,5.538330851125762566e-02
-9.972904566786902070e-01,2.082612998522124972e-03,1.980793994852867584e-02,1.970699235556787107e-05,7.735120592676668350e-02
-9.963126121827780013e-01,2.927304699457790663e-03,1.828609785657808740e-02,4.217521738978707499e-05,9.975812156950206178e-02
-9.951847266721968177e-01,3.730930990669923623e-03,1.721245398178114852e-02,7.278370338527963843e-05,1.211465870769198039e-01
-9.939069700023560605e-01,4.439718078968935173e-03,1.624517518857141601e-02,1.092015737148331416e-04,1.410230620189393547e-01
-9.924795345987099671e-01,5.044714080268125969e-03,1.529346956506329874e-02,1.497647478817578639e-04,1.594188796843998279e-01
-9.909026354277800097e-01,5.555197798399868353e-03,1.435160236671503484e-02,1.935268244738165197e-04,1.765181664989503574e-01
-9.891765099647810144e-01,5.984848200262151557e-03,1.343341509341795456e-02,2.399729849631378783e-04,1.925131896124562814e-01
-9.873014181578584347e-01,6.346814519104328201e-03,1.255263663446798406e-02,2.888146143446425167e-04,2.075672201739048039e-01
-9.852776423889412216e-01,6.652389426702319183e-03,1.171856903063069402e-02,3.398781580920389182e-04,2.218115307313334728e-01
-9.831054874312162850e-01,6.910899563088748233e-03,1.093618171901525847e-02,3.930483289176892091e-04,2.353506456176397699e-01
-9.807852804032304306e-01,7.129947557359648212e-03,1.020717448227954210e-02,4.482390012344754826e-04,2.482683345732377700e-01
-9.783173707196275437e-01,7.315715667946793774e-03,9.531029192878022471e-03,5.053780151760743850e-04,2.606325738010496496e-01
-9.757021300385284590e-01,7.473242545797662006e-03,8.905828977072031971e-03,5.643991015647703080e-04,2.724993095317467806e-01
-9.729399522055600658e-01,7.606652733356485119e-03,8.328842172819310441e-03,6.252375557701990178e-04,2.839152379153899730e-01
-9.700312531945439742e-01,7.719340288620647229e-03,7.796919813755541495e-03,6.878279413334040335e-04,2.949198500706860515e-01
-9.669764710448520706e-01,7.814113751422338550e-03,7.306757482984267693e-03,7.521029194704778814e-04,3.055469452962283339e-01
-9.637760657954398402e-01,7.893310196506356929e-03,6.855062432379129336e-03,8.179927145168881721e-04,3.158257623496961708e-01
-9.604305194155657865e-01,7.958885082599485156e-03,6.438656046478161664e-03,8.854249422658130083e-04,3.257818356672413374e-01
-9.569403357322088244e-01,8.012483292043858646e-03,6.054532903204631368e-03,9.543246453276783316e-04,3.354376519150186198e-01
-9.533060403541938621e-01,8.055495566982864494e-03,5.699891139067642283e-03,1.024614444764062682e-03,3.448131600870852354e-01
-9.495281805930366748e-01,8.089103580681817132e-03,5.372144174263868664e-03,1.096214754384741393e-03,3.539261729365509868e-01
-9.456073253805211687e-01,8.114316128380084231e-03,5.068920614001950174e-03,1.169044025753188587e-03,3.627926868083206635e-01
-9.415440651830206953e-01,8.131998344954415384e-03,4.788056911705393208e-03,1.243019004820271507e-03,3.714271394611537436e-01
-9.373390119125748488e-01,8.142895418192411944e-03,4.527585853085175187e-03,1.318054988880975730e-03,3.798426202067241020e-01
-9.329927988347388457e-01,8.147651933741933278e-03,4.285722879486189227e-03,1.394066077301573140e-03,3.880510429612145096e-01
-9.285060804732154782e-01,8.146827734829241441e-03,4.060851562083917475e-03,1.470965412393263061e-03,3.960632901309419918e-01
-9.238795325112867385e-01,8.140910986805915961e-03,3.851509060229047800e-03,1.548665408618865591e-03,4.038893333181510226e-01
