# y, nut, U, k, omega
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.390129332269849023e+06
-9.999247018391445030e-01,5.322631257558716932e-15,2.256728444093017948e-03,1.781053786676517644e-09,3.346190446963447030e+05
-9.996988186962042500e-01,3.789838415778136788e-13,9.025560142481930948e-03,2.564296854301997119e-08,6.766243235131677648e+04
-9.993223845883495438e-01,1.370866140224785349e-11,2.030243453064374190e-02,2.450921639151005588e-07,1.787863575613070134e+04
-9.987954562051724050e-01,2.465453043532519989e-10,3.608057301529430522e-02,1.504944646381672775e-06,6.104130234109949015e+03
-9.981181129001491792e-01,2.582235862762742850e-09,5.635030443304442360e-02,6.546104704507515894e-06,2.535052974401279243e+03
-9.972904566786902070e-01,1.817390024561166122e-08,8.109767860397176786e-02,2.213236371614724158e-05,1.217810344341083919e+03
-9.963126121827780013e-01,9.501554680135045150e-08,1.102970863820011416e-01,6.212984593597263908e-05,6.538913685968979053e+02
-9.951847266721968177e-01,3.935596318690261278e-07,1.438822554328395842e-01,1.512486922454110987e-04,3.843094667178733630e+02
-9.939069700023560605e-01,1.341169790756741423e-06,1.816593663021285054e-01,3.279013118115151016e-04,2.444890379063579076e+02
-9.924795345987099671e-01,3.833196076077063639e-06,2.231157524934441749e-01,6.413021570426979175e-04,1.673022053435768726e+02
-9.909026354277800097e-01,9.280953548330467582e-06,2.671571919321831801e-01,1.134018220226791322e-03,1.221876840908909827e+02
-9.891765099647810144e-01,1.924630969750140008e-05,3.120310392274511235e-01,1.809093013637041916e-03,9.399687743100955117e+01
-9.873014181578584347e-01,3.481704014029336059e-05,3.557441651859638565e-01,2.610216948307739031e-03,7.496952462896574332e+01
-9.852776423889412216e-01,5.631028868192183373e-05,3.967492447627546936e-01,3.446753437286294297e-03,6.121001184620279645e+01
-9.831054874312162850e-01,8.348362792656031700e-05,4.342853729779526661e-01,4.239568043458510210e-03,5.078322718779089229e+01
-9.807852804032304306e-01,1.158785003668367407e-04,4.682422070808837655e-01,4.943822675167503997e-03,4.266384756027908765e+01
-9.783173707196275437e-01,1.530270662428776353e-04,4.988664164270848467e-01,5.545160409388303138e-03,3.623646813292712920e+01
-9.757021300385284590e-01,1.945234807856999020e-04,5.265382701211309691e-01,6.047222095721296008e-03,3.108736318768928442e+01
-9.729399522055600658e-01,2.400311554142979737e-04,5.516528435547698450e-01,6.461458966062143261e-03,2.691925119015092349e+01
-9.700312531945439742e-01,2.892706691995579099e-04,5.745703849321384116e-01,6.801284026082736120e-03,2.351183424472435846e+01
-9.669764710448520706e-01,3.420056100810122822e-04,5.956016054026638251e-01,7.079365549221125833e-03,2.069955971640999337e+01
-9.637760657954398402e-01,3.980310268715556241e-04,6.150079811810886810e-01,7.306651681325801277e-03,1.835699025463640055e+01
-9.604305194155657865e-01,4.571649314112332719e-04,6.330074448737456061e-01,7.492210157378482657e-03,1.638841836413194741e+01
-9.569403357322088244e-01,5.192422397989812904e-04,6.497812897158142809e-01,7.643397341874817209e-03,1.472029191005833937e+01
